time:,2019-05-22 14:24:27.253633,,,
Highway,,,,
method,fps,fscore,precision,recall
diff_color,387.23436793993955,0.86498794366918,0.7797661693489185,0.9711234302597532
edge_based_method,23.50483960451347,0.8856545422763433,0.8220989583684772,0.9598603075235219
combined_method,22.615390569440827,0.943738598242527,0.9528104100868023,0.934837904583538
diff_color_3,226.77380600944878,0.9641635214057285,0.9860755966256535,0.9432041146635132
edge_based_method_3,21.916114459933816,0.9234741328114203,0.9337546306384833,0.9134175432529914
combined_method_3,20.942722217045517,0.9286986849879512,0.9947247460111733,0.870892161871903
Office,,,,
method,fps,fscore,precision,recall
diff_color,358.4946509046688,0.48269835961259705,0.7955285962332229,0.3464585087827094
edge_based_method,20.420649035363304,0.5751568981909484,0.8454497866859532,0.4358229614257841
combined_method,19.641397517926425,0.4671948012721426,0.8922995852869873,0.3164387010833254
diff_color_3,207.84431223559193,0.44062257074081657,0.9093666173023945,0.2907512924529634
edge_based_method_3,19.55596086643151,0.43113563828218693,0.9009354396882923,0.283370095257006
combined_method_3,18.382508218460675,0.3654646520395547,0.952481618901482,0.22611151880551172
Pedestrians,,,,
method,fps,fscore,precision,recall
diff_color,336.16124164244206,0.5737015654385448,0.4038857318010645,0.9899174494903572
edge_based_method,19.813362269746083,0.675046171411818,0.5163105100419745,0.9747146208907346
combined_method,18.95427887756414,0.7548604755890963,0.6175394842276454,0.970716779307816
diff_color_3,199.97260388311793,0.8795012556678524,0.7960702561290525,0.9824673330729717
edge_based_method_3,19.0400114915662,0.8189691482889337,0.7261161326611295,0.939051548604631
combined_method_3,17.799847184070906,0.9165634358909442,0.9001274760461443,0.933610787315424
Pets2006,,,,
method,fps,fscore,precision,recall
diff_color,60.75873012979646,0.590882375392343,0.46466509485556523,0.811240029907688
edge_based_method,3.5172066847399797,0.7021299574949751,0.6823771717455238,0.7230604015169245
combined_method,3.3921863219690973,0.6989723014751438,0.7075411823047068,0.6906084888954246
diff_color_3,33.83177292050924,0.7234505301147313,0.6881794737723335,0.7625323733371806
edge_based_method_3,3.436595295810546,0.7026820688526799,0.8372665675474061,0.6053728027899422
combined_method_3,3.193246183542122,0.6935246463694377,0.8639270795462134,0.5792687097885529
